name,first_year,last_year,desc_2010,desc_2011,desc_2012,desc_2013,desc_2014,desc_2015,desc_2016,desc_2017,genres_2014,genres_2015,genres_2016,genres_2017
송명하,2010,2017,월간 [핫뮤직] 기자,월간 [핫뮤직] 기자,월간 [핫뮤직] 기자,[파라노이드] 편집장,[파라노이드] 편집장,[파라노이드] 편집장,[파라노이드] 편집장,[파라노이드] 편집장,록-모던록,록-모던록,"헤비니스,록-모던록","록-모던록,메탈&하드코어"
신현준,2010,2017,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,성공회대 교수,성공회대 교수,성공회대 교수,성공회대 교수,팝-댄스&일렉트로닉,팝-댄스&일렉트로닉,팝-댄스&일렉트로닉,"포크,팝"
안병진,2010,2017,경인방송 라디오 PD,경인방송 라디오 PD,경인방송 라디오 PD,경인방송 라디오 PD,경인방송 라디오 PD,경인방송 라디오 PD,경인방송 라디오 PD,경인방송 라디오 PD,팝-댄스&일렉트로닉,팝-댄스&일렉트로닉,팝-댄스&일렉트로닉,"팝,댄스&일렉트로닉"
유정훈,2010,2017,온라인 샵 [뮤직랜드] 컨텐츠 팀장,온라인 샵 [뮤직랜드] 컨텐츠 팀장,온라인 샵 [뮤직랜드] 컨텐츠 팀장,온라인 샵 [뮤직랜드] 컨텐츠 팀장,온라인 샵 [뮤직랜드] 컨텐츠 팀장,온라인 샵 [뮤직랜드] 컨텐츠 팀장,온라인 샵 [뮤직랜드] 컨텐츠 팀장,온라인 샵 [뮤직랜드] 컨텐츠 팀장,팝-댄스&일렉트로닉,팝-댄스&일렉트로닉,팝-댄스&일렉트로닉,"팝,댄스&일렉트로닉"
이경준,2010,2017,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,록-모던록,"포크,록-모던록","포크,록-모던록,헤비니스","록-모던록,메탈&하드코어"
이광훈,2010,2017,Radio KISS 편성 제작 팀장,Radio KISS 편성 제작 팀장,Radio KISS 편성 제작 팀장,Radio KISS 편성 제작 팀장,Radio KISS 편성 제작 팀장,Radio KISS 편성 제작 팀장,Radio KISS 편성 제작 팀장,,힙합-알앤비&소울,힙합-알앤비&소울,랩&힙합-알앤비&소울,
이대희,2010,2017,[프레시안] 기자,[프레시안] 기자,[프레시안] 기자,[프레시안] 기자,[프레시안] 기자,[프레시안] 기자,[프레시안] 기자,[프레시안] 기자,록-모던록,록-모던록,록-모던록,"팝,포크"
이민희,2010,2017,음악칼럼니스트,음악칼럼니스트,음악칼럼니스트,음악칼럼니스트,음악칼럼니스트,음악칼럼니스트,음악칼럼니스트,음악칼럼니스트,록-모던록,록-모던록,록-모던록,록-모던록
이병주,2010,2017,웹진 [리드머] 필진,웹진 [리드머] 필진,웹진 [리드머] 필진,웹진 [리드머] 필진,웹진 [리드머] 필진,웹진 [리드머] 필진,웹진 [리드머] 필진,웹진 [리드머] 필진,힙합-알앤비&소울,힙합-알앤비&소울,랩&힙합-알앤비&소울,랩&힙합-알앤비&소울
이태훈,2010,2017,향뮤직 온라인 사업팀 과장,향뮤직 온라인 사업팀 과장,[뮤직랜드] 마케팅 과장,[100비트] 필진 / 대중음악평론가,"[100비트] 필진,대중음악평론가",대중음악평론가,대중음악평론가,대중음악평론가,재즈&크로스오버,"포크,재즈&크로스오버","포크,재즈&크로스오버","포크,재즈&크로스오버"
임희윤,2010,2017,[헤럴드경제] 기자,[헤럴드경제] 기자,[동아일보] 기자,[동아일보] 기자,[동아일보] 기자,[동아일보] 기자,[동아일보] 기자,[동아일보] 기자,록-모던록,록-모던록,록-모던록,록-모던록
조원희,2010,2017,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,팝-댄스&일렉트로닉,팝-댄스&일렉트로닉,팝-댄스&일렉트로닉,"팝,댄스&일렉트로닉"
조일동,2010,2017,[음악취향Y] 필진 / 음악평론가,[음악취향Y] 필진 / 음악평론가,[음악취향Y] 필진 / 음악평론가,[음악취향Y] 필진 / 음악평론가,"[음악취향Y] 필진,음악평론가",[음악취향Y] 필진 / 음악평론가,[음악취향Y] 편집장,[음악취향Y] 편집장,재즈&크로스오버,재즈&크로스오버,"재즈&크로스오버,헤비니스","재즈&크로스오버,메탈&하드코어"
